"","...1","ID","location","core_assisted","Machine","TUL","RPE - E","RPE - D"
"1",1,27,4,"core","A1",112,9,5
"2",2,38,4,"core","A1",120,5,5
"3",3,27,4,"assisted","A1",130,10,5
"4",4,38,4,"assisted","A1",160,7,7
"5",5,26,4,"core","A2",80,7,1
"6",6,29,4,"core","A2",90,7,1
"7",7,26,4,"assisted","A2",120,7,0
"8",8,29,4,"assisted","A2",155,9,2
"9",9,9,2,"core","A3",150,5,5
"10",10,10,2,"core","A3",120,8,8
"11",11,11,2,"core","A3",150,6,6
"12",12,12,2,"core","A3",115,9,7
"13",13,13,2,"core","A3",177,7,0
"14",14,16,1,"core","A3",120,7,6
"15",15,17,1,"core","A3",125,7,7
"16",16,19,1,"core","A3",116,9,6
"17",17,26,4,"core","A3",100,7,1
"18",18,30,4,"core","A3",122,8,8
"19",19,31,4,"core","A3",75,9,8
"20",20,32,4,"core","A3",110,8,7
"21",21,33,4,"core","A3",120,8,6
"22",22,34,4,"core","A3",110,6,7
"23",23,36,4,"core","A3",142,9,7
"24",24,39,4,"core","A3",120,9,7
"25",25,41,4,"core","A3",140,7,5
"26",26,42,4,"core","A3",120,7,7
"27",27,43,4,"core","A3",100,7,6
"28",28,45,4,"core","A3",120,6,5
"29",29,9,2,"assisted","A3",160,8,7
"30",30,10,2,"assisted","A3",140,10,9
"31",31,11,2,"assisted","A3",160,9,8
"32",32,12,2,"assisted","A3",140,10,5
"33",33,13,2,"assisted","A3",160,9,3
"34",34,16,1,"assisted","A3",150,8,8
"35",35,17,1,"assisted","A3",140,9,9
"36",36,19,1,"assisted","A3",120,8,8
"37",37,26,4,"assisted","A3",105,4,1
"38",38,30,4,"assisted","A3",128,10,10
"39",39,31,4,"assisted","A3",90,9,10
"40",40,32,4,"assisted","A3",115,9,8
"41",41,33,4,"assisted","A3",160,10,9
"42",42,34,4,"assisted","A3",120,7,7
"43",43,36,4,"assisted","A3",180,10,10
"44",44,39,4,"assisted","A3",140,9,7
"45",45,41,4,"assisted","A3",210,9,9
"46",46,42,4,"assisted","A3",135,8,8
"47",47,43,4,"assisted","A3",150,9,7
"48",48,45,4,"assisted","A3",150,10,8
"49",49,1,3,"core","B1",120,9,9
"50",50,2,3,"core","B1",132,9,7
"51",51,3,3,"core","B1",100,9,8
"52",52,4,3,"core","B1",90,8,5
"53",53,5,3,"core","B1",180,6,3
"54",54,6,3,"core","B1",100,9,7
"55",55,14,1,"core","B1",110,7,7
"56",56,15,1,"core","B1",120,8,7
"57",57,20,1,"core","B1",120,10,8
"58",58,21,5,"core","B1",90,7,8
"59",59,25,5,"core","B1",150,5,6
"60",60,29,4,"core","B1",125,8,1
"61",61,30,4,"core","B1",120,8,7
"62",62,32,4,"core","B1",123,8,7
"63",63,35,4,"core","B1",105,7,6
"64",64,7,3,"core","B1",155,8,6
"65",65,1,3,"assisted","B1",187,9,9
"66",66,2,3,"assisted","B1",180,9,8
"67",67,3,3,"assisted","B1",124,9,7
"68",68,4,3,"assisted","B1",122,9,8
"69",69,5,3,"assisted","B1",192,3,1
"70",70,6,3,"assisted","B1",110,9,7
"71",71,7,3,"assisted","B1",197,9,7
"72",72,14,1,"assisted","B1",140,8,8
"73",73,15,1,"assisted","B1",160,10,9
"74",74,20,1,"assisted","B1",155,10,10
"75",75,21,5,"assisted","B1",120,10,8
"76",76,25,5,"assisted","B1",170,9,7
"77",77,29,4,"assisted","B1",155,9,2
"78",78,30,4,"assisted","B1",156,9,9
"79",79,32,4,"assisted","B1",150,10,10
"80",80,35,4,"assisted","B1",105,7,7
"81",81,8,3,"core","B6",353,9,9
"82",82,22,5,"core","B6",165,9,5
"83",83,23,5,"core","B6",150,9,7
"84",84,24,5,"core","B6",169,9,5
"85",85,26,4,"core","B6",120,7,1
"86",86,37,4,"core","B6",120,5,3
"87",87,40,4,"core","B6",150,7,7
"88",88,44,4,"core","B6",120,6,8
"89",89,8,3,"assisted","B6",605,10,10
"90",90,22,5,"assisted","B6",180,7,5
"91",91,23,5,"assisted","B6",175,9,8
"92",92,24,5,"assisted","B6",180,9,7
"93",93,26,4,"assisted","B6",140,7,0
"94",94,37,4,"assisted","B6",175,7,5
"95",95,40,4,"assisted","B6",175,10,9
"96",96,44,4,"assisted","B6",240,8,9
"97",97,18,1,"core","B7",131,7,5
"98",98,28,4,"core","B7",180,9,2
"99",99,18,1,"assisted","B7",150,9,9
"100",100,28,4,"assisted","B7",280,10,0
"101",101,18,1,"core","C3",131,7,7
"102",102,24,5,"core","C3",180,9,5
"103",103,34,4,"core","C3",120,7,7
"104",104,44,4,"core","C3",120,4,3
"105",105,18,1,"assisted","C3",140,8,8
"106",106,24,5,"assisted","C3",180,9,5
"107",107,34,4,"assisted","C3",170,8,8
"108",108,44,4,"assisted","C3",240,6,4
"109",109,3,3,"core","C7",100,10,8
"110",110,17,1,"core","C7",150,6,6
"111",111,38,4,"core","C7",120,5,4
"112",112,42,4,"core","C7",120,8,6
"113",113,3,3,"assisted","C7",126,9,7
"114",114,17,1,"assisted","C7",180,7,7
"115",115,38,4,"assisted","C7",180,7,5
"116",116,42,4,"assisted","C7",140,8,7
"117",117,20,1,"core","D5",120,10,7
"118",118,20,1,"assisted","D5",140,10,9
"119",119,1,3,"core","D6",140,7,5
"120",120,2,3,"core","D6",134,9,8
"121",121,4,3,"core","D6",90,9,7
"122",122,5,3,"core","D6",185,7,5
"123",123,6,3,"core","D6",60,8,8
"124",124,8,3,"core","D6",298,9,9
"125",125,11,2,"core","D6",150,7,6
"126",126,12,2,"core","D6",120,7,5
"127",127,13,2,"core","D6",119,5,0
"128",128,14,1,"core","D6",100,6,6
"129",129,15,1,"core","D6",120,7,5
"130",130,16,1,"core","D6",120,7,6
"131",131,19,1,"core","D6",120,9,8
"132",132,22,5,"core","D6",120,9,7
"133",133,23,5,"core","D6",142,9,6
"134",134,27,4,"core","D6",115,10,5
"135",135,28,4,"core","D6",170,8,5
"136",136,29,4,"core","D6",80,7,1
"137",137,31,4,"core","D6",150,8,8
"138",138,33,4,"core","D6",120,10,8
"139",139,35,4,"core","D6",105,8,6
"140",140,36,4,"core","D6",149,10,9
"141",141,37,4,"core","D6",120,9,8
"142",142,41,4,"core","D6",120,7,6
"143",143,43,4,"core","D6",100,7,7
"144",144,45,4,"core","D6",120,8,7
"145",145,7,3,"core","D6",70,7,8
"146",146,1,3,"assisted","D6",180,7,7
"147",147,2,3,"assisted","D6",180,10,9
"148",148,4,3,"assisted","D6",110,9,9
"149",149,5,3,"assisted","D6",207,3,4
"150",150,6,3,"assisted","D6",75,9,7
"151",151,7,3,"assisted","D6",150,9,8
"152",152,8,3,"assisted","D6",360,10,10
"153",153,11,2,"assisted","D6",180,9,9
"154",154,12,2,"assisted","D6",180,9,5
"155",155,13,2,"assisted","D6",152,7,1
"156",156,14,1,"assisted","D6",150,9,9
"157",157,15,1,"assisted","D6",130,10,8
"158",158,16,1,"assisted","D6",140,9,9
"159",159,19,1,"assisted","D6",129,8,8
"160",160,22,5,"assisted","D6",160,10,10
"161",161,23,5,"assisted","D6",185,10,9
"162",162,27,4,"assisted","D6",150,10,5
"163",163,28,4,"assisted","D6",245,9,5
"164",164,29,4,"assisted","D6",80,9,1
"165",165,31,4,"assisted","D6",180,9,8
"166",166,33,4,"assisted","D6",180,10,9
"167",167,35,4,"assisted","D6",105,8,7
"168",168,36,4,"assisted","D6",165,10,10
"169",169,37,4,"assisted","D6",140,9,9
"170",170,41,4,"assisted","D6",180,9,9
"171",171,43,4,"assisted","D6",140,8,9
"172",172,45,4,"assisted","D6",150,9,8
"173",173,9,2,"core","D7",164,6,6
"174",174,10,2,"core","D7",150,7,6
"175",175,21,5,"core","D7",120,7,6
"176",176,25,5,"core","D7",180,7,6
"177",177,9,2,"assisted","D7",180,6,6
"178",178,10,2,"assisted","D7",180,9,8
"179",179,21,5,"assisted","D7",145,8,8
"180",180,25,5,"assisted","D7",200,8,7
"181",181,14,1,"core","F2",90,6,6
"182",182,15,1,"core","F2",105,8,6
"183",183,16,1,"core","F2",120,8,7
"184",184,17,1,"core","F2",80,8,8
"185",185,18,1,"core","F2",121,8,8
"186",186,21,5,"core","F2",120,7,6
"187",187,22,5,"core","F2",150,10,9
"188",188,23,5,"core","F2",140,10,9
"189",189,24,5,"core","F2",175,9,6
"190",190,39,4,"core","F2",105,9,8
"191",191,41,4,"core","F2",90,9,8
"192",192,43,4,"core","F2",90,10,8
"193",193,14,1,"assisted","F2",110,9,9
"194",194,15,1,"assisted","F2",150,10,10
"195",195,16,1,"assisted","F2",130,9,9
"196",196,17,1,"assisted","F2",150,9,9
"197",197,18,1,"assisted","F2",140,9,9
"198",198,21,5,"assisted","F2",145,7,7
"199",199,22,5,"assisted","F2",130,9,7
