"","id","location","core_assisted","machine","tul"
"1",735,2,"assisted","A2",120
"2",735,2,"assisted","A3",123
"3",735,2,"assisted","B1",120
"4",735,2,"assisted","C3",125
"5",735,2,"assisted","C7",120
"6",735,2,"assisted","F2.1",117
"7",1626,14,"core","A3",90
"8",1626,14,"core","B1",119
"9",1626,14,"core","B6",87
"10",1626,14,"core","C3",88
"11",1626,14,"core","C7",74
"12",1626,14,"core","D6",128
"13",1626,14,"core","D7",117
"14",1626,14,"core","F2",99
"15",1248,2,"core","A3",125
"16",1248,2,"core","B1",109
"17",1248,2,"core","B7",129
"18",1248,2,"core","C7",142
"19",1248,2,"core","F2.1",125
"20",19,24,"assisted","A1",114
"21",19,24,"assisted","A2",122
"22",19,24,"assisted","A3",77
"23",19,24,"assisted","B1",121
"24",19,24,"assisted","B6",122
"25",19,24,"assisted","C3",116
"26",19,24,"assisted","C7",106
"27",19,24,"assisted","D7",128
"28",19,24,"assisted","K2",98
"29",484,10,"assisted","A1",125
"30",484,10,"assisted","A3",124
"31",484,10,"assisted","B1",125
"32",484,10,"assisted","B6",129
"33",484,10,"assisted","B7",120
"34",484,10,"assisted","C7",134
"35",484,10,"assisted","D6",137
"36",484,10,"assisted","D7",133
"37",484,10,"assisted","F2",123
"38",1561,7,"assisted","A3",90
"39",1561,7,"assisted","B1",109
"40",1561,7,"assisted","B6",110
"41",1561,7,"assisted","B7",141
"42",1561,7,"assisted","C3",142
"43",1561,7,"assisted","C7",94
"44",1561,7,"assisted","D6",60
"45",1561,7,"assisted","F2.1",114
"46",1682,2,"assisted","A3",120
"47",1682,2,"assisted","B1",112
"48",1682,2,"assisted","B6",117
"49",1682,2,"assisted","F2.1",121
"50",495,10,"core","A3",165
"51",495,10,"core","B1",139
"52",495,10,"core","B7",145
"53",495,10,"core","C3",116
"54",495,10,"core","D7",100
"55",1157,3,"core","C7",113
"56",1157,3,"core","D5",110
"57",1157,3,"core","D6",128
"58",1157,3,"core","D7",126
"59",1173,22,"core","A3",103
"60",1173,22,"core","B1",130
"61",1173,22,"core","B7",145
"62",1173,22,"core","C3",138
"63",1173,22,"core","C7",156
"64",1173,22,"core","D6",107
"65",1173,22,"core","F2.1",81
"66",676,6,"core","A2",156
"67",676,6,"core","A3",121
"68",676,6,"core","B1",134
"69",676,6,"core","B6",127
"70",676,6,"core","B7",120
"71",676,6,"core","C7",120
"72",676,6,"core","F2.1",123
"73",835,12,"core","A3",144
"74",835,12,"core","B6",170
"75",835,12,"core","C7",144
"76",835,12,"core","F2.1",122
"77",901,8,"assisted","A3",118
"78",901,8,"assisted","B1",110
"79",901,8,"assisted","B6",160
"80",901,8,"assisted","B7",122
"81",901,8,"assisted","C7",135
"82",901,8,"assisted","D6",113
"83",901,8,"assisted","F2.1",115
"84",421,24,"core","A3",150
"85",421,24,"core","B6",120
"86",421,24,"core","B7",120
"87",421,24,"core","C3",120
"88",421,24,"core","C7",163
"89",421,24,"core","D6",126
"90",421,24,"core","F2.1",120
"91",1333,6,"core","A3",99
"92",1333,6,"core","B1",141
"93",1333,6,"core","B6",142
"94",1333,6,"core","B7",93
"95",1333,6,"core","C7",144
"96",1333,6,"core","D6",127
"97",1333,6,"core","F2.1",132
"98",408,10,"core","A3",111
"99",408,10,"core","B1",105
"100",408,10,"core","B6",109
"101",408,10,"core","B7",108
"102",408,10,"core","C3",120
"103",408,10,"core","C7",122
"104",408,10,"core","D6",125
"105",408,10,"core","F2.1",113
"106",765,23,"assisted","A1",117
"107",765,23,"assisted","A3",134
"108",765,23,"assisted","B6",129
"109",765,23,"assisted","C7",125
"110",765,23,"assisted","D6",125
"111",765,23,"assisted","F2.1",120
"112",765,23,"assisted","K2",106
"113",1692,15,"core","A3",130
"114",1692,15,"core","B1",131
"115",1692,15,"core","B6",146
"116",1692,15,"core","C7",145
"117",1692,15,"core","D7",138
"118",1692,15,"core","F2.1",131
"119",795,26,"core","A1",105
"120",795,26,"core","A2",109
"121",795,26,"core","A3",102
"122",795,26,"core","B6",114
"123",795,26,"core","B7",118
"124",795,26,"core","C7",128
"125",795,26,"core","F2.1",100
"126",499,2,"assisted","A3",131
"127",499,2,"assisted","B1",143
"128",499,2,"assisted","B6",138
"129",499,2,"assisted","C3",125
"130",499,2,"assisted","C7",97
"131",499,2,"assisted","F2.1",109
"132",914,4,"core","A3",114
"133",914,4,"core","B1",125
"134",914,4,"core","B6",143
"135",914,4,"core","C3",121
"136",914,4,"core","C7",133
"137",914,4,"core","D6",120
"138",914,4,"core","D7",128
"139",914,4,"core","F2.1",119
"140",1581,20,"core","A1",135
"141",1581,20,"core","A2",133
"142",1581,20,"core","A3",132
"143",1581,20,"core","B1",104
"144",1581,20,"core","B6",134
"145",1581,20,"core","B7",125
"146",1581,20,"core","C3",138
"147",1581,20,"core","C7",134
"148",1581,20,"core","D6",128
"149",1581,20,"core","F2.1",125
"150",1581,20,"core","K2",131
"151",413,2,"assisted","A1",120
"152",413,2,"assisted","A2",120
"153",413,2,"assisted","A3",105
"154",413,2,"assisted","B1",128
"155",413,2,"assisted","B6",138
"156",413,2,"assisted","C3",122
"157",413,2,"assisted","C7",100
"158",413,2,"assisted","D5",120
"159",413,2,"assisted","D6",109
"160",413,2,"assisted","D7",110
"161",413,2,"assisted","F2.1",125
"162",1577,2,"assisted","A1",81
"163",1577,2,"assisted","A2",90
"164",1577,2,"assisted","A3",108
"165",1577,2,"assisted","B1",131
"166",1577,2,"assisted","B7",108
"167",1577,2,"assisted","C7",100
"168",1577,2,"assisted","D6",101
"169",1577,2,"assisted","F2.1",143
"170",455,24,"core","A1",140
"171",455,24,"core","A3",125
"172",455,24,"core","B6",148
"173",455,24,"core","C3",170
"174",455,24,"core","C7",130
"175",455,24,"core","D6",148
"176",455,24,"core","F2",120
"177",455,24,"core","F2.1",155
"178",625,1,"assisted","A3",128
"179",625,1,"assisted","B6",125
"180",625,1,"assisted","B7",95
"181",625,1,"assisted","C3",123
