"","id","location","core_assisted","session_rpe"
"1",1521,2,"assisted",14
"2",801,22,"assisted",17
"3",1586,17,"assisted",13
"4",1612,22,"assisted",14
"5",729,19,"assisted",13
"6",94,13,"assisted",18
"7",713,22,"assisted",15
"8",1406,3,"assisted",14
"9",575,1,"assisted",14
"10",941,15,"assisted",13
"11",892,8,"assisted",13
"12",936,23,"assisted",15
"13",1630,3,"assisted",19
"14",1113,15,"assisted",15
"15",479,28,"assisted",14
"16",105,24,"assisted",14
"17",972,15,"assisted",15
"18",1226,8,"assisted",7
"19",830,17,"assisted",15
"20",1459,15,"assisted",14
"21",870,15,"assisted",15
"22",58,4,"assisted",15
"23",1606,8,"assisted",18
"24",86,22,"assisted",11
"25",868,15,"assisted",15
"26",296,8,"assisted",16
"27",474,20,"assisted",18
"28",1041,3,"assisted",15
"29",132,25,"assisted",15
"30",79,14,"assisted",13
"31",393,27,"assisted",16
"32",932,4,"assisted",13
"33",103,25,"assisted",16
"34",883,25,"assisted",16
"35",1594,24,"assisted",13
"36",985,6,"assisted",9
"37",463,14,"assisted",16
"38",1186,2,"assisted",13
"39",1242,8,"assisted",14
"40",212,8,"assisted",13
"41",303,11,"assisted",18
"42",471,4,"assisted",14
"43",480,15,"assisted",14
"44",1646,14,"assisted",14
"45",1661,27,"assisted",15
"46",80,3,"assisted",18
"47",672,17,"assisted",13
"48",1218,9,"assisted",12
"49",145,22,"assisted",13
"50",840,17,"assisted",13
"51",1549,13,"assisted",13
"52",338,19,"assisted",13
"53",538,13,"assisted",16
"54",24,8,"assisted",14
"55",815,7,"assisted",13
"56",1193,7,"assisted",15
"57",868,15,"assisted",15
"58",511,9,"assisted",17
"59",1444,12,"assisted",19
"60",425,21,"assisted",10
"61",1022,24,"assisted",8
"62",917,15,"assisted",16
"63",1404,22,"assisted",16
"64",112,8,"assisted",17
"65",442,9,"assisted",7
"66",446,15,"assisted",14
"67",95,15,"assisted",13
"68",1479,16,"assisted",16
"69",1197,6,"assisted",8
"70",652,8,"assisted",17
"71",1365,15,"assisted",15
"72",1522,23,"assisted",16
"73",1156,17,"assisted",13
"74",867,17,"assisted",13
"75",46,22,"assisted",17
"76",633,6,"assisted",13
"77",1443,13,"assisted",16
"78",507,3,"assisted",18
"79",494,20,"assisted",15
"80",1326,3,"assisted",20
"81",715,15,"assisted",14
"82",1025,4,"assisted",14
"83",541,3,"assisted",15
"84",762,27,"assisted",14
"85",479,28,"assisted",14
"86",208,15,"assisted",15
"87",1372,9,"assisted",13
"88",193,1,"assisted",17
"89",1132,3,"assisted",13
"90",1357,14,"assisted",14
"91",1318,5,"assisted",15
"92",820,17,"assisted",13
"93",975,3,"assisted",16
"94",839,9,"assisted",18
"95",1609,6,"assisted",13
"96",591,7,"assisted",14
"97",1263,2,"assisted",11
"98",1465,19,"assisted",16
"99",1521,2,"assisted",14
"100",1605,13,"assisted",18
"101",933,3,"assisted",16
"102",1141,3,"assisted",20
"103",797,17,"assisted",12
"104",415,15,"assisted",15
"105",1167,17,"assisted",13
"106",777,6,"assisted",16
"107",1581,8,"assisted",14
"108",507,3,"assisted",18
"109",863,3,"assisted",16
"110",1042,3,"assisted",18
"111",1214,16,"assisted",17
"112",954,14,"assisted",13
"113",1245,15,"assisted",15
"114",800,15,"assisted",14
"115",1522,23,"assisted",16
"116",1315,6,"assisted",14
"117",145,22,"assisted",13
"118",421,7,"assisted",10
"119",286,17,"assisted",13
"120",171,19,"assisted",13
"121",13,25,"assisted",8
"122",1261,3,"assisted",17
"123",415,15,"assisted",15
"124",958,6,"assisted",16
"125",645,13,"assisted",16
"126",1085,8,"assisted",13
"127",371,15,"assisted",15
"128",324,15,"assisted",15
"129",1071,4,"assisted",15
"130",1212,6,"assisted",17
"131",1437,17,"assisted",14
"132",531,17,"assisted",13
"133",1132,3,"assisted",13
"134",139,3,"assisted",17
"135",1264,5,"assisted",16
"136",624,23,"assisted",16
"137",712,25,"assisted",16
"138",476,14,"assisted",16
"139",822,17,"assisted",13
"140",1438,2,"assisted",13
"141",1343,3,"assisted",12
"142",635,22,"assisted",18
"143",1537,3,"assisted",16
"144",1124,14,"assisted",10
"145",639,19,"assisted",17
"146",1340,3,"assisted",14
"147",1402,9,"assisted",17
"148",1169,13,"assisted",9
"149",1448,3,"assisted",15
"150",893,17,"assisted",19
"151",24,8,"assisted",14
"152",1120,2,"assisted",12
"153",1522,23,"assisted",16
"154",686,15,"assisted",15
"155",57,25,"assisted",15
"156",949,27,"assisted",9
"157",1416,3,"assisted",16
"158",1016,2,"assisted",13
"159",216,17,"assisted",13
"160",1227,25,"assisted",13
